,Child utterance:utterance,Child utterance:not sure,Child utterance:other vocalization,Child gaze:robot,Child gaze:props,Child gaze:robot or prop,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Parent utterance:utterance utterance,Verbal scaffolding:cognitive,Verbal scaffolding:instruction translation,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:affective,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent gaze:robot or prop,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,start-end:start,start-end:end,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG,time
Child affective touch:affective touch,0.0017288644487281775,0.0007451918217846409,0.004119590420154301,0.005471774937859919,0.06881824133879444,0.02255674666209482,0.1691875376778697,0.020631318086655193,0.003269231229464213,0.002240655587257848,1.0,0.03308979583792642,0.0037429444551268795,0.0011184213051543825,0.008056940649907586,0.004874177750139309,0.019775682670651433,0.003519460971310779,0.0017072942699946066,0.004119590420154301,0.011103776007471578,0.0013794298578376288,0.007731451624544652,0.02754549497213317,0.019357267638693183,8.556917727952825e-05,0.01907287923283704,0.0071483747347066105,0.15319121318827025,0.049290863850477144,0.002699738932478711,0.0003228025552540305,0.0020789030054206158,0.03449767789790809,0.006313159011177307,0.001875301350433007,0.0007967002257133156,0.007491164350873048,0.014844558953851181,2.7729719928472583e-06,0.0007451918217846409,0.0007451918217846409,0.017207948785980497,0.014625993567919363,0.08125923408377593,0.029283321031385215,0.0016950115461421829,0.03285853765310189,0.11942103390719354,1.0
Parent utterance:utterance,0.004407202530570581,0.0014587337438492813,0.003541488257020947,0.025322156816257792,0.01890322647219509,4.001270792931715e-06,0.021325475708724236,0.00017225057342155488,0.002051891959205575,0.0003809246057589052,0.018808751005000065,1.0,0.007333053901473175,0.002189568144703069,0.4650174206521262,0.021539625880018346,0.05399030055412996,0.0038142312111920087,0.01127123494130072,0.008071819514220748,0.019513264720539297,0.03023191926824863,8.862623292968308e-05,0.0025452199636663985,0.012451408906503744,0.008569134236848557,0.003811539177355816,0.004643745501259715,0.013038544702933665,0.0017358192689568316,0.00016474670630319785,0.005386745995593621,0.004351155245092559,0.04459294017486708,0.0010799912895785098,0.005483518244082473,0.018923345398253705,0.0007647614665518593,0.0016978773134810623,0.001772535790275212,0.0014587337438492813,0.0014587337438492813,0.06391296269067782,0.050547644851996545,0.1251235517851434,0.03785143120555115,0.057790373923822504,0.001085281567882762,0.016987138656840924,1.0
Parent utterance:missing data,0.0004637112711362343,0.0003842386674656403,0.0021235130477733053,0.061736611096658685,0.13398147393346865,0.017943997774508332,0.007444272336689482,0.02507879770110167,0.009860381941274483,0.0011551799994493344,0.023760395889934584,0.08189536029116223,1.0,0.0005766653434524976,0.050877352394372875,0.0025123063595458356,0.00624824508243883,0.003879719844831079,0.020291049481236736,0.0021235130477733053,0.011617509502306058,0.07047924476313325,0.0565638261892476,0.29365364222189605,0.06248056442092198,0.06325108506251105,0.16478254035009524,0.0036837393199660342,0.09505556572944529,0.018006446393235953,0.004272320785846739,0.019007055472472823,0.0064470330988002185,0.017732135912696134,0.015836493280495474,0.018581080359099444,0.01646616343525452,0.26466106163415337,0.007644383428726883,0.007844716747576584,0.0003842386674656403,0.0003842386674656403,0.19838660607978525,0.023889789718862884,0.16674694608170867,0.2127794774404636,0.0565638261892476,0.14374596527672984,0.005851325009055918,1.0
Parent utterance:utterance utterance,0.01943233618193076,0.00031432730568984327,0.0017371132693077727,0.10851788936709707,0.057607936765155784,0.014676373050169491,0.006089353149911199,0.020510279512078036,0.008065502963535347,0.0009449900487883536,0.01943233618193076,0.06692866774144737,0.0015783493851008637,1.0,0.20940652594942558,0.0020551524471944115,0.005111077518647754,0.0031736980428823296,0.016595591746940516,0.0017371132693077727,0.06717554591652934,0.057607936765155784,0.1958468499269748,0.011588501184569656,0.03628738294964393,0.05170478411328323,0.006745144805470652,0.003013387754202617,0.0017283377193836036,0.30361606387258405,0.0034948400498732574,0.015545663779807971,0.005273675444993988,0.014503125411550799,0.012952947994606749,0.015197335069618524,0.01346787334974304,0.017088181658041757,0.0062530290757390125,0.006416886059378081,0.00031432730568984327,0.00031432730568984327,0.16179515480735657,0.0562246411281775,0.13608099037831123,0.1734762991386997,0.046242262338516,0.03548723642729821,0.004786416138090193,1.0
Verbal scaffolding:cognitive,0.0037785620143672943,0.001067982507073606,0.0016535548343808255,0.023019434443903745,0.039653749984364564,0.0022504874456155807,0.0009821375582541255,6.675263860706091e-05,0.015578890055328046,0.001741212662231079,0.005394548095194684,0.5477574060371314,0.005366227959134859,0.008069665503400705,1.0,0.006989042341147798,0.01100777590934147,0.005907211920000195,0.002540828316825226,0.005906496126929868,0.00827627078636145,0.04252714030248314,0.007913423155117848,9.959530905822184e-06,0.0049253839104005225,0.0031414698154774066,0.004122747243762005,0.004555442211785865,0.004319293280081264,0.008698250357574124,0.0005952142919657987,0.011999190597018573,0.0016825608304383084,0.04114580356080893,0.0030686621469241354,0.013462375601057801,0.01693558384658878,0.0010838473901990013,3.967541101867074e-05,0.00019582795979169892,0.001067982507073606,0.001067982507073606,0.04604632512016025,0.04089514256206909,0.07184825369426072,0.02079727009445278,0.05121602340880818,0.011002426246603976,0.0021831355527236426,1.0
Verbal scaffolding:instruction translation,0.024991220461747017,0.00040409865349234973,0.0022332876236992615,0.13986657726834376,0.07414868909884711,0.018872993878162252,0.007829291900960348,0.02637808773668486,0.010370478870344927,0.0012148915084133436,0.024991220461747017,0.19429355248303606,0.0020291698944155286,0.000606471730133877,0.05352034070453681,1.0,0.006571369813994388,0.004080313540906864,0.021341797429838622,0.0022332876236992615,0.0001745948378004841,0.05526824608361729,0.0595040687374216,0.01490127979482064,0.04668406063181432,0.024901458657802057,0.008672571830073571,0.0038741967682097683,0.0789008216823461,0.026610222745146357,0.004493221182902011,0.3001252071567008,0.0037960378166601405,0.018650144641778683,0.22021212417310201,0.003024470458799996,0.017318527214547994,0.02941826243004572,0.0080397601783888,0.008250462577788479,0.00040409865349234973,0.00040409865349234973,0.07837507762611377,0.07236585521984618,0.09763899449081836,0.07118655429377861,0.07527441378826154,0.045653885049545845,0.006153912067095061,1.0
Verbal scaffolding:affective,0.004733026043577229,0.0004934128370805737,0.0027270280175572662,0.06826156462802234,0.006935502861873612,2.569872132446149e-07,0.14322862747121154,0.032232309450875046,0.00020644585335165928,0.0014834408246183367,0.049782261158600016,0.23910739597145095,0.0024777694849552126,0.0007405186800564113,0.04138641507982086,0.0032263608555328197,1.0,0.004982654093428674,0.002698553248770352,0.0027270280175572662,0.001388360819334287,0.0015043164715698287,0.004179472531118407,0.0002868597935374755,0.02138494502546871,0.0013621416423542116,0.07757678256602182,0.01798752528754054,0.0005199161258492276,0.012417149225138998,0.0054869372894609325,0.024423277323437402,0.008280530521701359,0.022784020170013516,0.020346938587447426,0.023875552810684684,0.02115641940499031,0.007614621442347921,0.00981880247992256,0.010076189212597484,0.0004934128370805737,0.0004934128370805737,0.0007731123103737587,0.0389182751732507,0.13413850684797973,0.012852643038252249,0.0330649472045117,2.573854987388552e-05,0.06317958067784545,1.0
Non-verbal scaffolding:cognitive,0.0005359777018030023,0.0004420022280719612,0.002442810032590547,0.03604460054189909,0.06328752659135783,0.02064718698495914,0.00856430771703159,0.011257642366762037,0.011344359733192975,0.0013288564928564722,0.012781406001078912,0.024369331900685614,0.0022195378371370664,0.0006633588037336066,0.03204056187061937,0.00289008030677532,0.007188198826814276,1.0,0.0233486948663422,0.002442810032590547,0.09469113757112219,0.00023014474739850823,0.10668050081250365,0.016301416189551176,0.051088683303025496,0.005373746060045048,0.00577469310765538,0.1653988741073525,0.07207251907932653,0.007537642941198157,0.5372539246288914,0.021870763449939122,0.00741691410990635,0.02040333973077819,0.018221582388292853,8.331580665802119e-06,0.018946275342356607,0.05794727157242376,0.00019095048554600797,0.00902505711571884,0.0004420022280719612,0.0004420022280719612,0.003713069507986981,0.024738736007651113,0.017110530352185464,0.0019115035454677553,0.06512837569479243,0.029638688240767614,0.006731527193925153,1.0
Non-verbal scaffolding:affective,0.0011473321215439475,0.0007017803569275492,0.0008996662819249267,0.011643384770116503,0.005614424394886847,0.0038675416229285334,0.013610540741193364,0.00018139738729563808,0.03863994694375421,0.0021100785834276647,0.0018826578056525727,0.02186596453451744,0.00352474112936933,0.0010532613926330992,0.00418459490997021,0.004589949391652271,0.0011820908737859995,0.007089622960334736,1.0,0.0038794079522588517,0.025087925479208323,0.0006352384221229635,0.008813211461748962,0.01457210060525144,0.012058150800473864,1.478053290247255e-05,0.015078268793418706,0.0028394128741671023,0.16174728232582136,0.004367707269224603,0.007807497122144743,0.000783905807967107,0.011785506189969496,0.032471204979172955,9.190337251708228e-05,0.00011007638290192506,0.03865330421666882,0.019654573990762772,0.0024066237450156122,2.380052288032336e-05,0.0007017803569275492,0.0007017803569275492,0.00014206062675170208,0.006222048097350667,0.017353753569751888,0.005652906208255696,0.02162946227566046,0.000759917301243457,0.01069557132161566,1.0
Non-verbal scaffolding:technical,0.0026775193186411943,0.0003912081147602993,0.002162035640266877,0.023157418116048545,0.07176618921556403,0.0243291976915865,0.007579379691551923,0.02553466833347525,0.010039376908624529,0.001176134385512431,0.024192249288097253,0.08339265145885921,0.0019644313353103845,0.0005871252572712126,0.05180446918648928,0.002557883531705069,0.006361633936673937,0.003950112162739871,0.020659730628001704,1.0,0.08370066738348472,0.0010505032651101766,0.01486970640682099,0.0330700302700973,0.010489839340344703,0.00020885911629571374,0.008395721335150926,0.0037505747259778946,0.0967961164005778,0.025759362376158175,0.3405172489015701,0.019352367158166628,0.16292167244227074,0.018054248787858457,0.016124122516549568,0.018918640269970154,0.01676524567834005,0.0010755278470668368,0.059146507750194866,0.007987096726434193,0.0003912081147602993,0.0003912081147602993,0.07585558175794369,0.0008018655806797929,0.0944931340894841,0.0688999834599168,0.03189513411571246,0.0018809045147484803,0.005957507236384005,1.0
