,utterance,not sure,other vocalization,robot,props,robot or prop,parent,positive 1,positive 2,point at prop,affective touch,missing data,utterance utterance,cognitive,instruction translation,affective,technical,child,positive 3,other,song,teach,pick up,positive feedback,put down,correction,try again,start,end,PC,CP,PCP,CPC,MG,time
affective touch,0.023354309794127857,0.0017268555343206342,0.0004927918096161193,0.00034853408376665936,0.018874473683595898,0.001794069381758314,0.01920911468429154,0.03495341547221303,0.0021631962380176495,0.0009467481198453125,1.0,0.00868366386803384,8.485748993797179e-05,0.005204516564107734,0.007709397661074103,0.054311500959934,0.009558880843987127,0.00011694472425096795,0.00029148064292272303,0.00043427888843214975,0.04831322747608688,0.0162185111466234,0.003598299862400251,0.00017387808964932397,5.029910727075042e-06,0.003942138846539846,0.0019940270389252196,0.0017268555343206342,0.0017268555343206342,0.008183322034663161,0.00676494430722096,0.019952792105770733,0.015564945521491742,0.040683950632437314,1.0
missing data,0.054054126977580275,0.0003842386674656403,0.0021235130477733053,0.09405101336540612,0.08443197003078597,0.18554303478839887,0.011898823976850083,0.0877301669835331,0.05347406489472611,0.023760395889934584,0.10100346687237392,1.0,0.0005766653434524976,0.05343991415739249,0.0025123063595458356,0.02685179035197834,0.0021235130477733053,0.0002454380552743085,0.16478254035009524,0.0064470330988002185,0.017732135912696134,0.015836493280495474,0.018581080359099444,0.01646616343525452,0.26466106163415337,0.007644383428726883,0.007844716747576584,0.0003842386674656403,0.0003842386674656403,0.19838660607978525,0.023889789718862884,0.16674694608170867,0.2127794774404636,0.005851325009055918,1.0
utterance utterance,0.08953658935505791,0.00031432730568984327,0.0017371132693077727,0.08007550295955661,0.12041522188524538,0.02546051959828301,0.009732675350336242,0.07169119425213537,0.0407671593973966,0.01943233618193076,0.0027014861884439175,0.0015783493851008637,1.0,0.20308878446383138,0.0020551524471944115,0.021959849278685113,0.0017371132693077727,0.11082213533396286,0.006745144805470652,0.005273675444993988,0.014503125411550799,0.012952947994606749,0.015197335069618524,0.01346787334974304,0.017088181658041757,0.0062530290757390125,0.006416886059378081,0.00031432730568984327,0.00031432730568984327,0.16179515480735657,0.0562246411281775,0.13608099037831123,0.1734762991386997,0.004786416138090193,1.0
cognitive,0.3576278043448124,0.0010987344290189895,0.0018052435220962833,0.029753301328247665,0.03863382505375036,0.0014501750128871546,0.010681522540336141,0.0029693960906467132,0.011998909612986955,0.0015627011414480337,0.006254053335652916,0.005520948051595121,0.007665748304380579,1.0,0.007190651973742798,0.00969281247244147,0.006076821510034429,0.010775899270253296,0.004637978934015384,0.0019998696729771445,0.04266299875497214,0.00377068338620095,0.012951943498395112,0.01822155129639902,0.0017733253563721268,0.00011988355583699609,8.04474511174712e-05,0.0010987344290189895,0.0010987344290189895,0.04323017658757461,0.03691504126800463,0.06601536318157983,0.019701137739840672,0.001754924750492627,1.0
instruction translation,0.15162821862123907,0.00040409865349234973,0.0022332876236992615,0.10312504320266756,0.11239334017909543,0.03274780551951136,0.012514492190521214,0.009494629592932513,0.052452411525542655,0.2652687745013232,0.0724268399674841,0.0020291698944155286,0.000606471730133877,0.056216806777495965,1.0,0.028243182710667367,0.0022332876236992615,0.0031182280962923875,0.008672571830073571,0.0037960378166601405,0.018650144641778683,0.22021212417310201,0.003024470458799996,0.017318527214547994,0.02941826243004572,0.0080397601783888,0.008250462577788479,0.00040409865349234973,0.00040409865349234973,0.07837507762611377,0.07236585521984618,0.09763899449081836,0.07118655429377861,0.006153912067095061,1.0
affective,0.0008055953423418183,0.0007829273966471369,0.0002240737755020131,0.0004991908143573171,0.00023518770157506203,0.012409931973636639,0.00251238284753965,0.0007258487565055366,0.00143096042337707,0.0018320374109276345,0.09252008467820223,0.003932639956632058,0.0011750625931801365,0.013740826035780751,0.005121282849493298,1.0,0.00432839651352231,0.01329903467986994,0.002544861881206496,0.013152671129033695,0.03626152828890799,0.0005623403926113187,0.0019453686710252803,0.01964274804635826,0.006250236821105084,0.004245313043406912,0.0007124263674039209,0.0007829273966471369,0.0007829273966471369,0.00026627521122527014,5.419970774388909e-05,-3.8427384863349745e-16,0.0003316883994632217,0.0027201647199170237,1.0
technical,0.030307338770124988,0.0003912081147602993,0.002162035640266877,0.09980019291127819,0.03047830795793372,0.007933565416651423,0.21227565788682323,0.00501420851008424,0.01385619482233627,0.024192249288097253,0.10285425051957928,0.0019644313353103845,0.0005871252572712126,0.05441397975453578,0.002557883531705069,0.027339969018805418,1.0,0.11893664280658835,0.008395721335150926,0.16292167244227074,0.018054248787858457,0.016124122516549568,0.018918640269970154,0.01676524567834005,0.0010755278470668368,0.059146507750194866,0.007987096726434193,0.0003912081147602993,0.0003912081147602993,0.07585558175794369,0.0008018655806797929,0.0944931340894841,0.0688999834599168,0.005957507236384005,1.0
child,0.01712239277643644,0.0019687881714843276,0.00042309537497851375,0.0706703458413809,0.01723689346692728,0.0026216559267407693,0.00013193183293454264,0.002460210707271655,0.018727948081818782,0.048116252726561656,0.00011533675389732152,2.081113251070019e-05,0.0034332152564690802,0.00884421776848302,0.00032735266515193315,0.007699508312085406,0.010901532897735709,1.0,6.355909814163732e-05,1.2168679720447641e-05,0.000703481022526175,0.03600478957038131,0.0007903326402497352,0.0003996665717612879,0.002161209650751335,0.002528733311925052,0.0003100471662671986,0.0022870045793516878,0.0019687881714843276,0.010019856249286113,7.922149831470354e-06,0.018366190773828443,0.014224000827506834,0.03508680239580062,1.0
positive 3,0.018632351732300545,0.0005297592798202389,0.0029279898344411813,0.09411997396573413,0.0032393433418990915,0.005577242334435302,0.03224898548664459,0.06581125771730385,0.0074076550009438856,0.032798324836118185,0.0010937963353026292,0.05316241022295994,0.000795070157108128,0.01448352693443005,0.003464141005936867,0.005605918058042172,0.0029279898344411813,0.00024183401231265192,1.0,0.008891354031444473,0.024469227785603495,0.021851198533828414,0.025641859776187888,0.004357843189556522,0.07207030789618292,0.010543300892920117,0.010819714224899992,0.0005297592798202389,0.0005297592798202389,0.0668400325526676,0.023861894060931643,0.20204314079007868,0.1360609203237279,0.00028522687134001633,1.0
other,0.016389544814241687,0.0004972463739340586,0.002748222900569491,0.12735614192607167,0.046701730906666405,0.04033648394318095,0.0026952552376651832,0.006442745878453129,0.042148914413793204,0.01295605483309191,0.001956434070883297,0.002497026336781644,0.0007462723111173031,0.007497509225434994,0.0018203208384588703,0.034782936547901086,0.06821190263272188,5.5584393386193434e-05,0.010674257068901823,1.0,0.022961677361508236,0.020505528564916598,0.02406175509058458,0.021321340830114003,0.036231475364446014,0.009895201836130765,0.010154594517891366,0.014097586500097776,0.0004972463739340586,0.09669362126303857,0.0012595304273160792,0.1205532229258536,0.08780085147050737,0.007573707980504675,1.0
song,0.13863887205355369,0.0006687160224466991,0.003696495099158893,0.0668991187608376,0.18902036627008859,0.05440614077538829,0.02073877953260692,4.578146243906904e-05,0.10675267891393167,0.04052000944588589,0.1064368366495428,0.003358564418683293,0.0010036330171967894,0.07821608980730314,0.0043734989136044915,0.04689513555730842,0.003696495099158893,0.0015714161205148953,0.01436545634186208,0.01122879151699206,1.0,0.027616173255023867,0.032414151619870206,0.028716616575028893,0.04885357702206535,0.013316258349885316,0.013665584032095942,0.0006687160224466991,0.0006687160224466991,0.13105872696150297,0.10436049793520585,0.16378405079265523,0.11890652597362561,0.010190472239072483,1.0
teach,0.004786328766129997,0.0006434293018464812,0.0035566211335431885,0.04143189713742104,8.123657285380232e-05,0.0065075531746379405,0.019950950973953843,0.0005557427178521022,0.05732930771467259,0.4147803921340366,0.038493526063008786,0.003231487314871546,0.0009656789460913683,0.007447587136481673,0.055633815784868736,0.0007834869635987083,0.0035566211335431885,0.08664627530757087,0.013820546898925189,0.010803169245600455,0.029751872349549426,1.0,0.007951003765547374,0.027623667775740428,0.04698508793860411,0.012811269258680272,0.013147305815583472,0.0006434293018464812,0.0006434293018464812,0.04720480420870573,0.00785795751278133,0.0700469571567225,0.05815055311894801,0.00980429889633668,1.0
pick up,0.012198913084084526,0.0006798061170074203,8.89602948212666e-06,0.005876203472558208,0.00035926495665542483,0.055321012943387586,0.00024780334177875444,0.001886350266075493,0.04153527079190425,0.0021874698104387778,0.007690619774961856,0.0034142999600359366,0.001020278786038472,0.023036566172786748,0.0006880725710845421,0.0024407409588776984,0.003757843691154209,0.001712721764063047,0.014604502379890005,0.01141549610929909,0.03144653069843644,0.007159937576438251,1.0,0.02919621886587155,0.04967384177913132,0.013537787206031215,0.013892944119339393,0.0006798061170074203,0.0006798061170074203,1.522221478019193e-07,0.003219752862460999,0.000844954655919261,0.01811745966611521,0.002379579205983662,1.0
positive feedback,0.04219787587222328,0.0006519164894154191,0.0036035669235014224,0.007537974539880889,0.00020290654079587183,0.06811151517320359,0.02021532876838078,0.013991584980282544,0.004565194379943086,0.040426237133503455,0.00040214504875847693,0.0032741382308486265,0.0009784177421954731,0.03507050570691054,0.004263534023220739,0.026668334608902444,0.0036035669235014224,0.0009372352215758857,0.0026858559684588036,0.010946010961337719,0.03014707820061166,0.026917981904779863,0.03159369989049797,1.0,0.04761194387205946,0.0129807438373219,0.013321239683335194,0.0006519164894154191,0.0006519164894154191,1.767424260022765e-05,0.011678004295274807,3.989316079474398e-06,0.003536009071152542,0.009933902489174003,1.0
