,Child utterance,Child gaze,Child affect,Child gesture,Child affective touch,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns,Joint attention,Mutual gaze,time
122,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,64.36
123,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,64.86
124,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,65.36
125,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,65.86
126,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,66.36
127,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,66.86
128,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,67.36
129,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,67.86
130,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,68.36
131,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,68.86
132,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,69.36
133,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,69.86
134,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,70.36
135,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,70.86
136,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,71.36
137,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,71.86
138,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,72.36
139,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,72.86
140,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,73.36
141,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,73.86
142,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,74.36
143,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,74.86
144,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,75.36
145,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,75.86
146,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,76.36
147,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,76.86
148,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,77.36
149,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,77.86
150,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,78.36
151,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,78.86
152,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,79.36
153,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,79.86
154,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,80.36
155,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,80.86
156,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,81.36
157,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,81.86
158,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,82.36
159,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,82.86
160,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,83.36
161,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,83.86
162,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,84.36
163,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,84.86
164,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,85.36
165,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,85.86
166,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,86.36
167,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,86.86
168,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,87.36
169,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,87.86
170,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,88.36
171,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,88.86
172,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,89.36
173,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,89.86
174,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,90.36
175,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,90.86
176,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,91.36
177,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,91.86
178,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92.36
179,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92.86
