,col base,action base,col count,action count,hist,bins
72,action,Child gesture,sub_action,affective,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
73,action,Child gesture,sub_action,child,[1 0 0 2 1 0 1],[-3 -2 -1  0  1  2  3  4]
74,action,Child gesture,sub_action,cognitive,[0 0 1 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
75,action,Child gesture,sub_action,instruction translation,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
76,action,Child gesture,sub_action,missing data,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
77,action,Child gesture,sub_action,other,[0 2 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
78,action,Child gesture,sub_action,other vocalization,[0 0 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
79,action,Child gesture,sub_action,parent,[0 1 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
80,action,Child gesture,sub_action,point at prop,[1 2 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
81,action,Child gesture,sub_action,props,[1 0 0 0 0 1 1],[-3 -2 -1  0  1  2  3  4]
82,action,Child gesture,sub_action,robot,[0 0 0 3 1 0 0],[-3 -2 -1  0  1  2  3  4]
83,action,Child gesture,sub_action,technical,[0 0 1 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
84,action,Child gesture,sub_action,utterance,[0 2 2 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
85,action,Child gesture,action:sub_action,Child gaze:parent,[0 1 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
86,action,Child gesture,action:sub_action,Child gaze:props,[1 0 0 0 0 1 0],[-3 -2 -1  0  1  2  3  4]
87,action,Child gesture,action:sub_action,Child gaze:robot,[0 0 0 1 1 0 0],[-3 -2 -1  0  1  2  3  4]
88,action,Child gesture,action:sub_action,Child gesture:other,[0 2 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
89,action,Child gesture,action:sub_action,Child gesture:point at prop,[1 2 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
90,action,Child gesture,action:sub_action,Child prop manipulation:child,[0 0 0 2 0 0 0],[-3 -2 -1  0  1  2  3  4]
91,action,Child gesture,action:sub_action,Child utterance:other vocalization,[0 0 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
92,action,Child gesture,action:sub_action,Child utterance:utterance,[0 2 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
93,action,Child gesture,action:sub_action,Conversational turns:CP,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
94,action,Child gesture,action:sub_action,Conversational turns:CPC,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
95,action,Child gesture,action:sub_action,Conversational turns:PC,[0 0 1 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
96,action,Child gesture,action:sub_action,Conversational turns:PCP,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
97,action,Child gesture,action:sub_action,Joint attention:props,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
98,action,Child gesture,action:sub_action,Joint attention:robot,[0 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
99,action,Child gesture,action:sub_action,Mutual gaze:MG,[0 1 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
100,action,Child gesture,action:sub_action,Parent gaze:child,[1 0 0 0 1 0 1],[-3 -2 -1  0  1  2  3  4]
101,action,Child gesture,action:sub_action,Parent gaze:props,[0 0 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
102,action,Child gesture,action:sub_action,Parent gaze:robot,[0 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
103,action,Child gesture,action:sub_action,Parent gesture:other,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
104,action,Child gesture,action:sub_action,Parent gesture:point at prop,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
105,action,Child gesture,action:sub_action,Parent prop manipulation:parent,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
106,action,Child gesture,action:sub_action,Parent utterance:missing data,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
107,action,Child gesture,action:sub_action,Parent utterance:utterance,[0 0 2 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
108,action,Child gesture,action:sub_action,Verbal scaffolding:affective,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
109,action,Child gesture,action:sub_action,Verbal scaffolding:cognitive,[0 0 1 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
110,action,Child gesture,action:sub_action,Verbal scaffolding:instruction translation,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
111,action,Child gesture,action:sub_action,Verbal scaffolding:technical,[0 0 1 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
112,action,Child prop manipulation,action,Child gaze,[5 9 6 6 6 7 5],[-3 -2 -1  0  1  2  3  4]
113,action,Child prop manipulation,action,Child gesture,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
114,action,Child prop manipulation,action,Child utterance,[0 0 0 1 1 0 0],[-3 -2 -1  0  1  2  3  4]
115,action,Child prop manipulation,action,Conversational turns,[1 0 0 1 0 0 1],[-3 -2 -1  0  1  2  3  4]
116,action,Child prop manipulation,action,Joint attention,[2 6 2 2 3 3 3],[-3 -2 -1  0  1  2  3  4]
117,action,Child prop manipulation,action,Mutual gaze,[0 0 0 1 1 1 0],[-3 -2 -1  0  1  2  3  4]
118,action,Child prop manipulation,action,Parent gaze,[5 4 3 3 4 2 5],[-3 -2 -1  0  1  2  3  4]
119,action,Child prop manipulation,action,Parent gesture,[1 0 1 1 1 1 2],[-3 -2 -1  0  1  2  3  4]
120,action,Child prop manipulation,action,Parent prop manipulation,[0 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
121,action,Child prop manipulation,action,Parent utterance,[3 0 0 5 7 2 4],[-3 -2 -1  0  1  2  3  4]
122,action,Child prop manipulation,action,Verbal scaffolding,[3 0 0 5 6 2 4],[-3 -2 -1  0  1  2  3  4]
123,action,Child prop manipulation,sub_action,CP,[0 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
124,action,Child prop manipulation,sub_action,CPC,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
125,action,Child prop manipulation,sub_action,MG,[0 0 0 1 1 1 0],[-3 -2 -1  0  1  2  3  4]
126,action,Child prop manipulation,sub_action,PC,[1 0 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
127,action,Child prop manipulation,sub_action,PCP,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
128,action,Child prop manipulation,sub_action,affective,[1 0 0 1 2 1 0],[-3 -2 -1  0  1  2  3  4]
129,action,Child prop manipulation,sub_action,child,[2 1 2 1 3 2 3],[-3 -2 -1  0  1  2  3  4]
130,action,Child prop manipulation,sub_action,cognitive,[1 0 0 3 3 1 3],[-3 -2 -1  0  1  2  3  4]
131,action,Child prop manipulation,sub_action,instruction translation,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
132,action,Child prop manipulation,sub_action,missing data,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
133,action,Child prop manipulation,sub_action,other,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
134,action,Child prop manipulation,sub_action,other vocalization,[0 0 0 0 1 0 0],[-3 -2 -1  0  1  2  3  4]
135,action,Child prop manipulation,sub_action,parent,[0 0 0 3 4 0 0],[-3 -2 -1  0  1  2  3  4]
136,action,Child prop manipulation,sub_action,point at prop,[1 0 1 1 1 1 2],[-3 -2 -1  0  1  2  3  4]
137,action,Child prop manipulation,sub_action,props,[ 1 10  8  3  1  4 10],[-3 -2 -1  0  1  2  3  4]
138,action,Child prop manipulation,sub_action,robot,[11  9  1  5  6  7  3],[-3 -2 -1  0  1  2  3  4]
139,action,Child prop manipulation,sub_action,technical,[1 0 0 1 1 0 1],[-3 -2 -1  0  1  2  3  4]
140,action,Child prop manipulation,sub_action,utterance,[3 0 0 6 7 2 4],[-3 -2 -1  0  1  2  3  4]
141,action,Child prop manipulation,action:sub_action,Child gaze:parent,[0 0 0 2 4 0 0],[-3 -2 -1  0  1  2  3  4]
142,action,Child prop manipulation,action:sub_action,Child gaze:props,[0 5 6 1 0 3 4],[-3 -2 -1  0  1  2  3  4]
143,action,Child prop manipulation,action:sub_action,Child gaze:robot,[5 4 0 3 2 4 1],[-3 -2 -1  0  1  2  3  4]
144,action,Child prop manipulation,action:sub_action,Child gesture:other,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
145,action,Child prop manipulation,action:sub_action,Child gesture:point at prop,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
146,action,Child prop manipulation,action:sub_action,Child prop manipulation:child,[2 1 0 0 1 1 3],[-3 -2 -1  0  1  2  3  4]
147,action,Child prop manipulation,action:sub_action,Child utterance:other vocalization,[0 0 0 0 1 0 0],[-3 -2 -1  0  1  2  3  4]
148,action,Child prop manipulation,action:sub_action,Child utterance:utterance,[0 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
149,action,Child prop manipulation,action:sub_action,Conversational turns:CP,[0 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
150,action,Child prop manipulation,action:sub_action,Conversational turns:CPC,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
151,action,Child prop manipulation,action:sub_action,Conversational turns:PC,[1 0 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
152,action,Child prop manipulation,action:sub_action,Conversational turns:PCP,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
153,action,Child prop manipulation,action:sub_action,Joint attention:props,[0 3 2 1 0 1 2],[-3 -2 -1  0  1  2  3  4]
154,action,Child prop manipulation,action:sub_action,Joint attention:robot,[2 3 0 1 3 2 1],[-3 -2 -1  0  1  2  3  4]
155,action,Child prop manipulation,action:sub_action,Mutual gaze:MG,[0 0 0 1 1 1 0],[-3 -2 -1  0  1  2  3  4]
156,action,Child prop manipulation,action:sub_action,Parent gaze:child,[0 0 2 1 2 1 0],[-3 -2 -1  0  1  2  3  4]
157,action,Child prop manipulation,action:sub_action,Parent gaze:props,[1 2 0 1 1 0 4],[-3 -2 -1  0  1  2  3  4]
158,action,Child prop manipulation,action:sub_action,Parent gaze:robot,[4 2 1 1 1 1 1],[-3 -2 -1  0  1  2  3  4]
159,action,Child prop manipulation,action:sub_action,Parent gesture:other,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
160,action,Child prop manipulation,action:sub_action,Parent gesture:point at prop,[1 0 1 1 1 1 2],[-3 -2 -1  0  1  2  3  4]
161,action,Child prop manipulation,action:sub_action,Parent prop manipulation:parent,[0 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
162,action,Child prop manipulation,action:sub_action,Parent utterance:missing data,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
163,action,Child prop manipulation,action:sub_action,Parent utterance:utterance,[3 0 0 5 7 2 4],[-3 -2 -1  0  1  2  3  4]
164,action,Child prop manipulation,action:sub_action,Verbal scaffolding:affective,[1 0 0 1 2 1 0],[-3 -2 -1  0  1  2  3  4]
165,action,Child prop manipulation,action:sub_action,Verbal scaffolding:cognitive,[1 0 0 3 3 1 3],[-3 -2 -1  0  1  2  3  4]
166,action,Child prop manipulation,action:sub_action,Verbal scaffolding:instruction translation,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
167,action,Child prop manipulation,action:sub_action,Verbal scaffolding:technical,[1 0 0 1 1 0 1],[-3 -2 -1  0  1  2  3  4]
168,action,Child utterance,action,Child gaze,[1 3 5 5 3 2 1],[-3 -2 -1  0  1  2  3  4]
169,action,Child utterance,action,Child gesture,[0 1 1 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
170,action,Child utterance,action,Child prop manipulation,[0 0 0 0 1 2 1],[-3 -2 -1  0  1  2  3  4]
171,action,Child utterance,action,Conversational turns,[1 4 2 3 0 0 1],[-3 -2 -1  0  1  2  3  4]
172,action,Child utterance,action,Joint attention,[0 0 0 4 1 3 2],[-3 -2 -1  0  1  2  3  4]
173,action,Child utterance,action,Mutual gaze,[1 3 6 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
174,action,Child utterance,action,Parent gaze,[0 3 5 6 0 3 2],[-3 -2 -1  0  1  2  3  4]
175,action,Child utterance,action,Parent gesture,[0 1 0 0 1 1 0],[-3 -2 -1  0  1  2  3  4]
176,action,Child utterance,action,Parent prop manipulation,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
177,action,Child utterance,action,Parent utterance,[1 0 1 3 2 1 0],[-3 -2 -1  0  1  2  3  4]
178,action,Child utterance,action,Verbal scaffolding,[1 0 0 2 1 1 0],[-3 -2 -1  0  1  2  3  4]
179,action,Child utterance,sub_action,CP,[0 3 2 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
180,action,Child utterance,sub_action,CPC,[0 1 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
181,action,Child utterance,sub_action,MG,[1 3 6 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
182,action,Child utterance,sub_action,PC,[1 0 0 2 0 0 0],[-3 -2 -1  0  1  2  3  4]
183,action,Child utterance,sub_action,PCP,[0 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
184,action,Child utterance,sub_action,affective,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
185,action,Child utterance,sub_action,child,[0 3 4 1 1 2 1],[-3 -2 -1  0  1  2  3  4]
186,action,Child utterance,sub_action,cognitive,[1 0 0 1 0 1 0],[-3 -2 -1  0  1  2  3  4]
